Name,Seasons,About,Episode Title,Episode Description,Genres,Moods,Cast
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",1. Pilot,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Maitreyi Ramakrishnan
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",2. ... had sex with Paxton Hall-Yoshida,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Richa Moorjani
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",3. ... gotten drunk with the popular kids,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Jaren Lewison
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",4. ... felt super Indian,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Darren Barnet
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",5. ... started a nuclear war,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Lee Rodriguez
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",6. ... been the loneliest boy in the world,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Ramona Young
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.","7. ... been a big, fat liar",Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",John McEnroe
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",8. ... pissed off everyone I know,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Poorna Jagannathan
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",9. ... had to be on my best behavior,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Sendhil Ramamurthy
Never Have I Ever,4 Seasons,"Created by Mindy Kaling and Lang Fisher, this teen comedy stars Maitreyi Ramakrishnan, Poorna Jagannathan and Niecy Nash.",10. ... said I'm sorry,Not available,"TV Dramas , Teen TV Shows , TV Comedies , US TV Shows","Quirky , Feel-Good",Michael Cimino
