Name,Seasons,About,Episode Title,Episode Description,Genres,Moods,Cast
Onmyoji,1 Season,Not available,1. The Traveling Demon,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Daisuke Namikawa
Onmyoji,1 Season,Not available,2. The Head Minister,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Shintaro Asanuma
Onmyoji,1 Season,Not available,3. Ashiya Doman,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Yui Ishikawa
Onmyoji,1 Season,Not available,4. A Rumor of Love,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Kenji Hamada
Onmyoji,1 Season,Not available,5. Are You Lovesick?,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Daisuke Kishio
Onmyoji,1 Season,Not available,6. The Lady Who Loved Insects,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Rina Sato
Onmyoji,1 Season,Not available,7. Liveliness,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Not available
Onmyoji,1 Season,Not available,8. The Fox's Child,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Not available
Onmyoji,1 Season,Not available,9. A Contest of Magic at the Imperial Court,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Not available
Onmyoji,1 Season,Not available,10. A Lost Curse,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Not available
Onmyoji,1 Season,Not available,11. Metamorphosis,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Not available
Onmyoji,1 Season,Not available,12. The Lord Taizan Ceremony,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Not available
Onmyoji,1 Season,Not available,13. The Demon Within,Not available,"Japanese , Historical Anime , TV Shows Based on Books , Mystery & Thriller Anime , Anime Series , Fantasy Anime , Drama Anime",Exciting,Not available
